epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,8872.49,0.86265,1.17942,0.98821,0.79981,0.72222,0.79123,0.52429,1.13602,1.60506,1.17618,0.0002378,0.0002378,0.0002378
91,8971.39,0.81347,1.083,0.96747,0.81944,0.71253,0.79327,0.52188,1.14554,1.63547,1.17549,0.000218,0.000218,0.000218
92,9069.32,0.80691,1.07248,0.96871,0.80082,0.71865,0.7825,0.51839,1.15483,1.67779,1.18014,0.0001982,0.0001982,0.0001982
93,9167.24,0.80359,1.05419,0.95818,0.81095,0.71494,0.78647,0.52131,1.12659,1.65512,1.16791,0.0001784,0.0001784,0.0001784
94,9265.06,0.78997,1.03249,0.95671,0.81592,0.71739,0.79893,0.5215,1.15671,1.65729,1.17935,0.0001586,0.0001586,0.0001586
95,9363.17,0.79334,1.03707,0.95592,0.78888,0.71981,0.79598,0.52246,1.14304,1.6618,1.18375,0.0001388,0.0001388,0.0001388
96,9461.04,0.7849,1.02674,0.952,0.8228,0.70531,0.79657,0.52551,1.15618,1.64458,1.19288,0.000119,0.000119,0.000119
97,9559.24,0.78192,1.02722,0.95252,0.81551,0.71535,0.78936,0.51738,1.15247,1.65257,1.18567,9.92e-05,9.92e-05,9.92e-05
98,9656.89,0.78128,1.00732,0.94525,0.79573,0.74333,0.79793,0.52414,1.14717,1.61677,1.1844,7.94e-05,7.94e-05,7.94e-05
99,9754.84,0.77792,1.01336,0.94209,0.81701,0.71498,0.79765,0.5239,1.13938,1.62072,1.18157,5.96e-05,5.96e-05,5.96e-05
100,9852.57,0.76531,1.01058,0.9493,0.81819,0.71498,0.79996,0.52419,1.13097,1.62526,1.18008,3.98e-05,3.98e-05,3.98e-05
